timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 01:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.2844,5,0.1866,4,8.3864,17,50,9.4944,50,6.5432,8469208040,485739504,18.9888,13.086399999999998,9.921674839278095
2024-05-20 01:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,0.3559,7,0.373,5,8.1767,17,50,11.4014,50,7.2887,12525835224,557414624,22.8028,14.5774,12.511391852805362
2024-05-20 01:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,0.2349,5,0.1886,5,15.7044,29,50,8.9694,50,8.5591,9395464488,553807624,17.9388,17.1182,19.447758247002177
2024-05-20 01:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.323,5,0.2093,4,7.5872,15,50,11.6798,50,9.3165,13596208464,405780088,23.3596,18.633,13.534175003807936
2024-05-20 01:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.299,5,0.2436,5,23.6667,36,50,9.0382,50,10.7663,12102669288,562609624,18.0764,21.5326,17.771390852100303
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,0.0792,4,0.1594,4,7.1111,13,50,3.4612,50,6.3964,1714727232,219920728,6.9224,12.792799999999998,10.64723254935839
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,0.4195,6,0.3797,6,31.3286,53,50,9.202,50,13.4586,14563192256,710164312,18.404,26.9172,18.11261007383371
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.116,4,0.0786,4,6.9289,14,50,4.2178,50,8.9339,3345232384,206322712,8.4356,17.8678,11.2667566812788
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.0865,3,0.0602,4,4.5694,10,50,3.7523,50,7.7165,4519667392,192917176,7.5046,15.433,22.86586118554258
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,0.0662,4,0.0824,4,11.6586,23,50,2.1031,50,6.9174,1079038800,600050664,4.2062,13.8348,14.02111435761303
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,0.6484,5,0.6554,6,9.45,18,50,18.1775,50,8.4696,12825023288,761496200,36.355,16.9392,6.891399539152384
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.2404,4,0.1938,5,6.3797,13,50,7.8601,50,5.7599,5871244376,277429384,15.7202,11.5198,11.336624195613195
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.3354,6,0.3215,6,23.9203,37,50,9.3811,50,12.2539,15826740400,1935045296,18.7622,24.5078,21.079421028658384
2024-05-20 02:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.1247,4,0.1602,5,19.1583,32,50,2.8998,50,10.7932,2856756416,2016611488,5.7996,21.5864,20.04921620991523
2024-05-20 03:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.1046,3,0.0822,3,6.5994,14,50,3.7785,50,7.3442,2582669400,130082624,7.556999999999999,14.688399999999998,9.407703502203749
2024-05-20 03:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.0213,3,0.0236,3,3.0828,10,50,1.3028,50,5.8848,286394896,61003688,2.6056,11.7696,11.922381844171252
2024-05-20 03:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,0.2117,5,0.1853,5,13.3439,23,50,5.4739,50,7.6992,6919556272,560342960,10.9478,15.3984,18.721817539655166
2024-05-20 03:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,0.6101,6,0.5294,5,8.2619,16,50,16.6298,50,7.9315,11130403872,570528520,33.2596,15.863,6.29790752138881
2024-05-20 03:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.0408,3,0.0413,3,4.3597,11,50,2.3925,50,5.0737,854746408,58411136,4.785,10.1474,10.750515900832594
